Designator,Mid X,Mid Y,Layer,Rotation
C761,66.410005mm,45.075005000000004mm,Bottom,270.0
C762,72.164616mm,48.021442mm,Bottom,180.0
C764,67.300005mm,57.170005mm,Bottom,270.0
C766,66.37000499999999mm,57.220005mm,Bottom,270.0
R752,72.05100499999999mm,45.784258mm,Bottom,90.0
R753,73.975005mm,45.784258mm,Bottom,270.0
R754,68.250005mm,57.275005mm,Bottom,270.0
R757,69.20000499999999mm,57.225005mm,Bottom,90.0
R760,71.475005mm,57.350005mm,Bottom,90.0
R761,68.250005mm,55.400005mm,Bottom,270.0
R762,69.20000499999999mm,55.325005000000004mm,Bottom,270.0
R763,74.51000499999999mm,57.235005mm,Bottom,90.0
R765,66.37000499999999mm,53.215005000000005mm,Bottom,270.0
R766,69.19993199999999mm,53.22792mm,Bottom,270.0
U752,67.600005mm,50.225005mm,Bottom,90.0
U753,72.45000499999999mm,52.440722mm,Bottom,0.0
U757,68.679221mm,46.125005mm,Bottom,90.0
C751,73.100005mm,49.200005000000004mm,Top,0.0
C754,74.080005mm,52.775005mm,Top,180.0
C758,74.080005mm,55.075005000000004mm,Top,0.0
C759,72.08841199999999mm,52.775005mm,Top,180.0
C763,70.850005mm,45.075005000000004mm,Top,270.0
C765,69.03000499999999mm,48.235005mm,Top,90.0
C767,72.08841199999999mm,55.075005000000004mm,Top,180.0
C768,67.78000499999999mm,50.465005000000005mm,Top,180.0
C769,71.500005mm,57.565005mm,Top,270.0
D751,69.610005mm,45.515005mm,Top,90.0
R751,68.000005mm,45.375005mm,Top,270.0
R755,71.70000499999999mm,49.715005000000005mm,Top,270.0
R756,74.57500499999999mm,49.670005mm,Top,90.0
R758,73.13579mm,50.425005mm,Top,0.0
R759,70.70000499999999mm,49.715005000000005mm,Top,90.0
R764,74.080005mm,53.775005mm,Top,180.0
R767,72.08841199999999mm,51.775005mm,Top,0.0
R768,72.08841199999999mm,53.775005mm,Top,180.0
R769,74.080005mm,51.775005mm,Top,180.0
R770,70.690005mm,47.815005mm,Top,90.0
U751,73.018408mm,46.450711mm,Top,270.0
U754,68.400005mm,54.623035mm,Top,0.0
U755,67.110005mm,48.435005000000004mm,Top,90.0
U756,73.500005mm,56.9718mm,Top,180.0
C771,59.675005mm,51.537505mm,Top,0.0
C772,60.375005mm,56.437505mm,Top,270.0
C773,59.0271mm,56.437505mm,Top,270.0
D771,57.175005mm,53.337505mm,Top,270.0
R771,63.375005mm,46.937505mm,Top,270.0
R772,59.575005mm,45.037505mm,Top,0.0
R773,60.975004999999996mm,48.637505000000004mm,Top,270.0
R774,58.475004999999996mm,48.637505000000004mm,Top,270.0
R775,59.675005mm,52.837505mm,Top,0.0
R776,57.225004999999996mm,56.437505mm,Top,270.0
R777,59.675005mm,54.337505mm,Top,0.0
U771,62.875005mm,54.237505mm,Top,90.0
C601,30.350005mm,61.725005mm,Bottom,180.0
C602,30.350005mm,62.675005000000006mm,Bottom,180.0
C603,28.150005mm,62.675005000000006mm,Bottom,0.0
C604,30.350005mm,63.625005mm,Bottom,180.0
C605,28.691673mm,49.800005000000006mm,Bottom,270.0
C606,28.150005mm,63.625005mm,Bottom,180.0
C607,32.575005mm,46.125005mm,Bottom,270.0
C608,38.825005000000004mm,63.40000500000001mm,Bottom,90.0
C617,36.174633mm,69.22500500000001mm,Bottom,180.0
C618,30.575005mm,66.80006900000001mm,Bottom,270.0
D604,28.400005mm,67.200005mm,Bottom,90.0
R602,33.450005mm,54.90000500000001mm,Bottom,90.0
R603,35.450005000000004mm,55.675005000000006mm,Bottom,270.0
R604,28.150005mm,61.725005mm,Bottom,0.0
R605,34.450005mm,55.700005000000004mm,Bottom,90.0
R606,33.725005mm,47.100005mm,Bottom,90.0
R607,27.625005mm,49.800005000000006mm,Bottom,90.0
R608,34.450005mm,53.800005000000006mm,Bottom,270.0
R609,38.800005mm,60.800005000000006mm,Bottom,90.0
R610,31.200005mm,51.725005mm,Bottom,90.0
R611,31.200005mm,49.800005000000006mm,Bottom,90.0
R612,29.933339mm,49.800005000000006mm,Bottom,270.0
R613,37.100004999999996mm,59.825005000000004mm,Bottom,0.0
R614,37.875005mm,63.404296mm,Bottom,270.0
R615,37.400005mm,61.350005mm,Bottom,270.0
R616,37.375005mm,46.15000500000001mm,Bottom,90.0
R618,35.450005000000004mm,58.425005000000006mm,Bottom,90.0
R619,34.450005mm,57.600005mm,Bottom,90.0
R620,33.450005mm,57.600005mm,Bottom,270.0
R621,38.310005000000004mm,69.22500500000001mm,Bottom,180.0
R622,37.375005mm,48.100005mm,Bottom,270.0
R623,33.450005mm,59.475005mm,Bottom,90.0
R624,39.775005mm,63.40000500000001mm,Bottom,270.0
R629,34.163657mm,69.215005mm,Bottom,0.0
R630,36.890005mm,54.38500500000001mm,Bottom,90.0
U600,29.900005mm,57.175005000000006mm,Bottom,180.0
U601,38.825005000000004mm,66.52500500000001mm,Bottom,270.0
U605,34.099633mm,65.02500500000001mm,Bottom,90.0
C600,28.525005mm,54.937505mm,Top,180.0
C609,29.950005mm,63.250005mm,Top,180.0
C610,36.500005mm,68.648005mm,Top,270.0
C611,34.600005mm,53.825005000000004mm,Top,180.0
C612,36.500005mm,53.825005000000004mm,Top,0.0
C613,31.975005mm,67.750005mm,Top,270.0
C614,32.475005mm,53.825005000000004mm,Top,0.0
C615,39.275005mm,63.925005000000006mm,Top,0.0
C616,34.437505mm,65.60000500000001mm,Top,180.0
D600,29.375005mm,45.225005mm,Top,0.0
D601,28.050005mm,58.000005mm,Top,90.0
D602,28.050005mm,60.975005mm,Top,270.0
D603,38.880005mm,65.50745500000001mm,Top,180.0
Q600,32.600005mm,49.66500500000001mm,Top,0.0
Q601,39.275005mm,49.575005000000004mm,Top,90.0
R600,30.425005mm,53.875005mm,Top,180.0
R601,28.525005mm,53.875005mm,Top,180.0
R617,39.275005mm,55.125005mm,Top,0.0
R625,31.950005mm,65.77500500000001mm,Top,270.0
R626,28.525005mm,56.000005mm,Top,180.0
R627,28.075005mm,63.125005mm,Top,180.0
R628,36.500005mm,66.000005mm,Top,90.0
U602,34.750005mm,59.475005mm,Top,0.0
U603,38.750005mm,68.10000500000001mm,Top,180.0
U604,34.275005mm,68.050005mm,Top,270.0
R148,85.5mm,105.425mm,Bottom,180.0
R142,86.9mm,106.32499999999999mm,Bottom,180.0
U108,103.0802mm,73.234mm,Top,0.0
VD103,105.9mm,77.82mm,Bottom,270.0
U101,77.85000000000001mm,102.67139999999999mm,Top,270.0
C119,85.5001mm,97.9444mm,Bottom,0.0
R147,94.5116mm,105.7413mm,Bottom,0.0
R146,74.8339mm,104.32499999999999mm,Bottom,270.0
R141,87.9mm,106.32499999999999mm,Bottom,180.0
U102,82.9565mm,100.95349999999999mm,Bottom,180.0
R109,83.0163mm,100.3578mm,Top,180.0
R108,80.10000000000001mm,99.969mm,Bottom,180.0
Q103,83.7428mm,102.42179999999999mm,Top,180.0
Q102,88.295mm,105.02499999999999mm,Top,180.0
Q101,82.5725mm,105.25999999999999mm,Bottom,0.0
Q100,79.2mm,102.61999999999999mm,Bottom,270.0
L100,89.0994mm,86.57499999999999mm,Bottom,180.0
F100,90.955mm,105.2534mm,Bottom,180.0
C120,87.2001mm,86.4245mm,Top,0.0
C107,82.0785mm,103.02499999999999mm,Bottom,0.0
C106,82.1035mm,98.6819mm,Bottom,0.0
U110,81.65310000000001mm,96.62989999999999mm,Bottom,270.0
R145,81.6922mm,93.66969999999999mm,Bottom,0.0
R144,81.6922mm,94.61519999999999mm,Bottom,0.0
R143,75.0968mm,82.4562mm,Bottom,270.0
R107,83.8139mm,104.6034mm,Top,0.0
D108,83.4531mm,105.975mm,Top,180.0
U107,104.8065mm,82.4289mm,Bottom,0.0
U106,105.4924mm,95.85679999999999mm,Top,0.0
C134,104.8065mm,80.6926mm,Bottom,0.0
C126,105.7952mm,97.80009999999999mm,Top,180.0
VD102,102.5462mm,77.82mm,Bottom,270.0
VD101,105.9mm,73.42999999999999mm,Bottom,90.0
VD100,102.5462mm,73.42999999999999mm,Bottom,90.0
U109,103.0802mm,75.70899999999999mm,Top,0.0
U103,80.2mm,89.05mm,Bottom,270.0
U100,77.8001mm,95.7255mm,Top,90.0
U195,85.0mm,81.57499999999999mm,Top,90.0
U190,99.2mm,81.57499999999999mm,Top,90.0
U185,77.9mm,81.57499999999999mm,Top,90.0
U180,92.1mm,81.57499999999999mm,Top,90.0
S101,93.8997mm,104.8393mm,Top,0.0
S100,105.04650000000001mm,91.725mm,Top,90.0
R140,99.0001mm,75.52499999999999mm,Bottom,0.0
R111,75.2mm,86.875mm,Bottom,180.0
R112,75.2mm,87.925mm,Bottom,180.0
R117,75.2mm,93.175mm,Bottom,180.0
R115,75.2mm,91.07499999999999mm,Bottom,180.0
R116,75.2mm,92.125mm,Bottom,180.0
R114,75.2mm,90.02499999999999mm,Bottom,180.0
R113,75.2mm,88.975mm,Bottom,180.0
R110,75.2mm,85.82499999999999mm,Bottom,180.0
R120,105.51830000000001mm,99.012mm,Top,0.0
R100,74.90010000000001mm,95.725mm,Bottom,90.0
R258,95.6577mm,75.01989999999999mm,Bottom,270.0
R255,74.85000000000001mm,73.125mm,Bottom,270.0
R256,96.6mm,77.725mm,Bottom,90.0
R254,74.75mm,75.57499999999999mm,Top,270.0
R245,92.3001mm,74.07499999999999mm,Bottom,0.0
R227,87.5mm,74.07499999999999mm,Bottom,0.0
R200,77.90010000000001mm,74.07499999999999mm,Bottom,0.0
R197,85.0001mm,82.925mm,Bottom,180.0
R196,85.0mm,80.125mm,Bottom,0.0
R195,87.8501mm,79.625mm,Bottom,270.0
R191,99.1mm,82.925mm,Bottom,180.0
R190,99.1mm,80.125mm,Bottom,0.0
R186,77.9mm,82.925mm,Bottom,180.0
R185,77.9mm,80.125mm,Bottom,0.0
R181,92.1mm,82.925mm,Bottom,180.0
R180,92.1mm,80.125mm,Bottom,0.0
R139,100.2mm,73.02499999999999mm,Top,270.0
R138,99.0mm,73.02499999999999mm,Top,270.0
R137,97.80000000000001mm,73.02499999999999mm,Top,270.0
R136,96.6mm,73.02499999999999mm,Top,270.0
R135,100.2mm,74.02499999999999mm,Top,90.0
R132,99.0mm,74.02499999999999mm,Top,90.0
R126,97.80000000000001mm,74.02499999999999mm,Top,90.0
R124,96.6mm,74.02499999999999mm,Top,90.0
R119,75.8mm,86.925mm,Top,90.0
R118,75.8mm,91.02499999999999mm,Top,90.0
R253,94.2mm,73.02499999999999mm,Top,90.0
R252,93.0mm,73.02499999999999mm,Top,90.0
